accuracy,loss,val_accuracy,val_loss,learning_rate
0.7231976985931396,0.6543216705322266,0.7886044383049011,0.5186178088188171,0.0010000000474974513
0.7736005187034607,0.5614036321640015,0.8034682273864746,0.5008354187011719,0.0010000000474974513
0.7822763919830322,0.5321720838546753,0.8084228038787842,0.48759016394615173,0.0010000000474974513
0.7940508127212524,0.5210059881210327,0.8092485666275024,0.4773545563220978,0.0010000000474974513
0.7932245135307312,0.516348659992218,0.8199834823608398,0.4660150706768036,0.0010000000474974513
0.7985953092575073,0.5066878795623779,0.8191577196121216,0.45966392755508423,0.0010000000474974513
0.7971493601799011,0.5003631114959717,0.8183319568634033,0.4595341086387634,0.0010000000474974513
0.8052055239677429,0.4898131787776947,0.8199834823608398,0.45200327038764954,0.0010000000474974513
0.8049989938735962,0.48488324880599976,0.8249380588531494,0.44508716464042664,0.0010000000474974513
0.8052055239677429,0.4873042404651642,0.8249380588531494,0.4439722001552582,0.0010000000474974513
0.8109894394874573,0.470608115196228,0.8224607706069946,0.4692244827747345,0.0010000000474974513
0.8083040714263916,0.47568801045417786,0.8249380588531494,0.4406639039516449,0.0010000000474974513
0.8093369007110596,0.4668474495410919,0.8348472118377686,0.43204623460769653,0.0010000000474974513
0.8111960291862488,0.47512322664260864,0.8356729745864868,0.43589866161346436,0.0010000000474974513
0.8101631999015808,0.4725511968135834,0.8307183980941772,0.4381053149700165,0.0010000000474974513
0.81202232837677,0.4609224200248718,0.829892635345459,0.43183955550193787,0.0010000000474974513
0.8250361680984497,0.46069014072418213,0.8356729745864868,0.4260352551937103,0.0010000000474974513
0.8211113214492798,0.45680949091911316,0.833195686340332,0.42525848746299744,0.0010000000474974513
0.8211113214492798,0.45217829942703247,0.8356729745864868,0.423227995634079,0.0010000000474974513
0.8213179111480713,0.4508219361305237,0.833195686340332,0.42299556732177734,0.0010000000474974513
0.8196653723716736,0.4437243640422821,0.8398017883300781,0.4188750088214874,0.0010000000474974513
0.8235901594161987,0.4412609934806824,0.8406275510787964,0.41470831632614136,0.0010000000474974513
0.8248295783996582,0.438757985830307,0.8381502628326416,0.42930588126182556,0.0010000000474974513
0.8289609551429749,0.43991196155548096,0.843104898929596,0.41241705417633057,0.0010000000474974513
0.8314397931098938,0.42913883924484253,0.833195686340332,0.4171030819416046,0.0010000000474974513
0.8291675448417664,0.4383409023284912,0.8455821871757507,0.40824365615844727,0.0010000000474974513
0.8283412456512451,0.4327738285064697,0.8422791361808777,0.40068739652633667,0.0010000000474974513
0.8310266733169556,0.4290390908718109,0.8447564244270325,0.4100598990917206,0.0010000000474974513
0.8275149464607239,0.4282989203929901,0.8389760255813599,0.40405911207199097,0.0010000000474974513
